Model,Accuracy,AUC,Precision,Recall,F1
Random Forest,0.899,0.9504671953735406,0.8712394705174489,0.9420949902407287,0.9052829009065333
Logistic Regression,0.8993333333333333,0.9495839913262779,0.8847352024922118,0.9238776837996097,0.9038828771483132
Decision Tree,0.8976666666666666,0.945596898735275,0.8736330498177399,0.9355888093689004,0.9035501099591581
Neural Network,0.8963333333333333,0.946633084752456,0.8679471788715486,0.940793754066363,0.9029035279425539
LightGBM,0.8963333333333333,0.950081405086028,0.8719660194174758,0.9349381912817176,0.9023547880690738
